#agents	4k	4k	6k	6k	8k	8k	10k	10k
1	3808.61199	178.8424685	5649.354656	150.6594924	6645.682718	567.1334662	8651.29639	340.6612693
3	3166.518871	292.4136667	5212.49211	309.4812515	6064.717866	145.2069347	8102.085457	387.7473919
5	2886.861255	236.9986298	4502.238357	279.4325965	5802.968003	152.0469499	8406.573079	795.1850268
7	2846.235406	166.1461679	5109.707218	245.7648789	5913.57604	255.0096843	8134.429942	893.1946489
10	3005.702679	255.4105273	4735.994073	337.5425157	6412.945287	509.3440555	7410.602102	813.9359226
